Age,Years at address,Employment status,Country,Current debt,Income,Own home,CCJs,Loan amount,Outcome
78,8,Unemployed,UK,1400,53500,Own,0,12001,Paid
43,17,Unemployed,UK,4230,38000,Rent,3,14741,Paid
65,9,Employed,UK,8580,47500,Own,2,20023,Paid
75,57,Unemployed,UK,3370,42500,Own,0,28604,Paid
34,2,Unemployed,UK,10,43500,Mortgage,1,36778,Paid
65,46,Unemployed,France,7100,27500,Own,3,3238,Paid
87,51,Employed,UK,30,40500,Own,2,34004,Paid
38,7,Employed,UK,6390,10500,Mortgage,0,4966,Defaulted
32,14,Unemployed,UK,7410,42500,Own,1,32133,Paid
39,2,Self Employed,UK,5490,30000,Mortgage,1,13827,Defaulted
58,32,Self Employed,UK,6220,42500,Mortgage,0,31126,Paid
58,17,Employed,UK,60,45000,Rent,1,37036,Defaulted
82,64,Self Employed,UK,3320,15000,Own,2,11419,Paid
43,4,Self Employed,UK,2010,27500,Mortgage,3,17358,Defaulted
62,1,Employed,UK,920,21500,Mortgage,0,18444,Defaulted
67,33,Self Employed,UK,9330,47500,Own,1,5696,Paid
39,16,Self Employed,UK,2480,28500,Mortgage,2,8813,Defaulted
75,57,Self Employed,UK,2200,42500,Own,0,14812,Paid
22,2,Self Employed,UK,3380,45000,Own,0,21107,Defaulted
58,33,Self Employed,UK,9270,23000,Mortgage,1,4732,Paid
69,46,Self Employed,UK,4370,52000,Own,0,19630,Paid
27,9,Employed,UK,5510,35500,Own,3,1072,Defaulted
77,5,Self Employed,UK,3450,44500,Own,3,19330,Defaulted
18,1,Self Employed,UK,1220,37500,Mortgage,0,28323,Paid
18,1,Self Employed,UK,7690,30000,Mortgage,0,11729,Defaulted
43,14,Self Employed,UK,40,28500,Own,3,10003,Defaulted
33,10,Self Employed,UK,50,47500,Own,0,24551,Paid
67,32,Self Employed,UK,1640,34500,Mortgage,2,11344,Paid
69,39,Employed,UK,80,51000,Mortgage,1,13592,Paid
72,20,Employed,UK,1420,38500,Mortgage,0,1078,Paid
29,10,Unemployed,UK,420,54500,Rent,0,36234,Defaulted
78,1,Unemployed,UK,9030,45500,Own,2,20275,Defaulted
44,17,Self Employed,UK,30,45500,Mortgage,1,15662,Paid
17,1,Employed,UK,8940,47000,Mortgage,0,5315,Defaulted
60,37,Unemployed,UK,290,38500,Own,0,26451,Paid
59,15,Employed,UK,4010,29000,Own,0,22894,Paid
40,9,Self Employed,UK,4450,10500,Own,0,2619,Paid
52,14,Self Employed,UK,4850,31500,Rent,0,14754,Paid
76,11,Employed,UK,9580,25000,Rent,1,21016,Defaulted
44,21,Self Employed,UK,6160,21000,Rent,2,11405,Paid
27,1,Self Employed,UK,6580,44000,Own,0,9681,Defaulted
69,13,Employed,UK,7040,37000,Mortgage,1,22632,Paid
52,14,Self Employed,UK,2330,24500,Own,0,18818,Paid
53,9,Self Employed,UK,40,35500,Mortgage,0,27599,Paid
68,35,Self Employed,UK,1110,32000,Own,0,22353,Paid
38,1,Self Employed,UK,600,19000,Own,0,5404,Defaulted
18,1,Self Employed,UK,1090,34500,Own,2,10288,Paid
30,12,Self Employed,UK,1020,28000,Own,2,14713,Defaulted
56,33,Self Employed,UK,160,38500,Own,0,34373,Defaulted
58,30,Self Employed,UK,1890,36500,Own,1,33368,Paid
37,3,Unemployed,UK,8690,44000,Own,1,14937,Paid
85,14,Unemployed,UK,4770,50000,Own,2,32952,Defaulted
42,5,Unemployed,UK,1560,43500,Rent,3,6579,Defaulted
85,52,Employed,UK,9980,37000,Rent,0,9194,Paid
54,26,Unemployed,UK,7140,54000,Own,0,50405,Defaulted
57,14,Unemployed,UK,1020,20500,Mortgage,2,19796,Defaulted
34,2,Self Employed,UK,8450,45500,Own,1,40907,Defaulted
17,1,Unemployed,UK,7380,46500,Mortgage,2,1365,Defaulted
42,13,Self Employed,UK,180,47500,Rent,2,24035,Defaulted
22,1,Self Employed,UK,4290,52500,Mortgage,2,1145,Defaulted
72,37,Self Employed,UK,2690,46500,Mortgage,3,28848,Defaulted
19,1,Unemployed,UK,5610,32500,Rent,1,5150,Paid
38,10,Employed,UK,7120,27000,Mortgage,1,9582,Defaulted
27,3,Employed,UK,160,45500,Own,0,38361,Paid
50,2,Unemployed,UK,2440,51500,Mortgage,3,47751,Defaulted
88,34,Self Employed,UK,10,54500,Own,0,42197,Paid
80,18,Self Employed,UK,4550,53000,Mortgage,1,49227,Paid
57,34,Employed,UK,780,40000,Rent,1,20918,Paid
41,15,Unemployed,UK,8800,54000,Own,0,37542,Defaulted
62,28,Unemployed,UK,1400,39500,Own,1,10780,Paid
43,4,Self Employed,UK,5240,22500,Own,1,16352,Paid
62,18,Self Employed,UK,570,53000,Own,2,32777,Defaulted
43,18,Employed,UK,5330,33500,Own,1,21544,Defaulted
47,12,Self Employed,UK,0,28500,Own,1,1238,Paid
56,12,Employed,UK,1390,43500,Rent,0,354,Paid
65,19,Self Employed,UK,5560,28000,Rent,0,3727,Paid
28,8,Self Employed,UK,0,42000,Mortgage,2,20240,Defaulted
52,22,Unemployed,UK,3420,33500,Own,2,22286,Defaulted
34,14,Self Employed,UK,7090,53000,Own,2,28251,Defaulted
39,2,Unemployed,UK,1060,54000,Mortgage,1,9349,Paid
50,20,Self Employed,UK,1630,46500,Own,0,28449,Paid
32,1,Employed,UK,1250,36000,Rent,2,25021,Defaulted
64,12,Self Employed,UK,8150,44000,Mortgage,1,7832,Defaulted
54,34,Employed,UK,3660,25500,Mortgage,0,9713,Paid
47,13,Unemployed,UK,6420,49500,Rent,0,21857,Defaulted
26,8,Unemployed,UK,380,36000,Own,0,26269,Defaulted
41,22,Employed,UK,130,31500,Mortgage,0,25260,Defaulted
64,6,Unemployed,UK,5000,45000,Own,1,5928,Paid
80,4,Unemployed,UK,50,52500,Rent,0,28034,Paid
70,11,Self Employed,UK,990,44500,Rent,3,29350,Defaulted
17,1,Self Employed,UK,5900,37500,Rent,3,35840,Defaulted
17,1,Self Employed,UK,100,31500,Own,3,947,Defaulted
50,8,Unemployed,UK,4380,54500,Own,1,12464,Paid
42,16,Self Employed,UK,80,31000,Own,0,18932,Paid
31,5,Self Employed,UK,4580,35500,Mortgage,0,13836,Defaulted
24,4,Unemployed,UK,3910,17500,Mortgage,1,3530,Defaulted
35,11,Employed,UK,520,43000,Own,1,42038,Paid
73,16,Self Employed,Germany,2170,42500,Mortgage,0,604,Paid
23,3,Self Employed,UK,3920,52000,Mortgage,3,38960,Defaulted
77,59,Unemployed,UK,9180,46000,Own,1,13141,Defaulted
84,2,Unemployed,UK,9780,49000,Own,2,33427,Paid
42,23,Unemployed,UK,3610,27000,Own,0,24933,Defaulted
86,28,Employed,UK,6580,21500,Own,0,865,Paid
46,4,Self Employed,UK,60,25000,Rent,0,7972,Paid
59,31,Self Employed,UK,3120,49000,Own,1,16309,Paid
46,28,Employed,UK,100,18500,Mortgage,0,7019,Defaulted
51,7,Unemployed,UK,7700,44500,Rent,3,1125,Defaulted
83,4,Unemployed,UK,9770,23500,Own,0,14029,Defaulted
57,9,Self Employed,UK,5540,54500,Rent,0,49354,Paid
81,17,Self Employed,UK,4000,46000,Mortgage,3,28930,Defaulted
48,21,Self Employed,UK,660,37500,Own,0,26407,Paid
86,68,Unemployed,UK,1690,52000,Own,0,14310,Paid
58,28,Unemployed,UK,10,50500,Mortgage,2,6988,Paid
47,30,Employed,UK,9670,22500,Rent,2,13701,Defaulted
88,54,Unemployed,UK,830,29500,Own,0,1287,Defaulted
61,26,Self Employed,UK,0,38000,Own,0,4483,Paid
84,57,Employed,UK,7300,34000,Own,1,22417,Paid
82,31,Employed,UK,40,38500,Rent,0,6843,Paid
77,47,Unemployed,UK,1990,37000,Mortgage,0,30181,Paid
45,18,Unemployed,UK,40,38500,Mortgage,3,29383,Defaulted
60,9,Self Employed,UK,3430,47500,Own,2,27030,Paid
80,58,Self Employed,UK,8960,42500,Own,3,39559,Defaulted
70,16,Self Employed,UK,2350,17000,Rent,1,50,Defaulted
70,52,Unemployed,UK,3850,15000,Mortgage,0,6423,Paid
65,30,Unemployed,UK,5750,39500,Own,0,26800,Paid
79,1,Unemployed,UK,6630,50000,Own,1,16705,Defaulted
48,27,Self Employed,UK,1330,44500,Own,1,27999,Defaulted
52,12,Employed,UK,2140,25000,Rent,1,2142,Defaulted
75,11,Self Employed,UK,2250,19000,Mortgage,2,2948,Paid
69,17,Employed,UK,6870,47000,Mortgage,0,23896,Defaulted
31,14,Self Employed,UK,1000,32000,Own,0,16978,Paid
62,24,Self Employed,UK,4180,25000,Mortgage,0,12590,Paid
77,55,Self Employed,UK,3000,44500,Mortgage,1,8915,Paid
36,12,Unemployed,UK,2660,16000,Own,0,15388,Paid
22,2,Unemployed,UK,3730,54500,Rent,3,18408,Defaulted
64,23,Self Employed,UK,8010,50500,Own,1,4480,Defaulted
70,23,Employed,UK,1880,54000,Rent,0,30275,Paid
22,1,Self Employed,UK,3110,50500,Own,0,4397,Paid
62,33,Self Employed,UK,5480,46500,Own,2,23670,Defaulted
57,36,Unemployed,UK,1180,27500,Own,1,10824,Paid
41,23,Self Employed,UK,510,39500,Mortgage,0,9313,Paid
28,9,Unemployed,UK,0,45500,Mortgage,1,28298,Paid
37,8,Self Employed,UK,5380,48500,Own,2,15354,Defaulted
36,10,Self Employed,UK,2150,34500,Own,0,12971,Paid
79,12,Employed,UK,8310,45500,Own,3,13235,Defaulted
61,13,Employed,UK,5930,44000,Own,0,8485,Paid
74,8,Unemployed,UK,5460,45500,Mortgage,1,8659,Paid
68,29,Self Employed,UK,70,50500,Mortgage,0,6537,Paid
25,7,Unemployed,UK,4080,47500,Own,1,94,Paid
82,21,Self Employed,UK,3640,44000,Mortgage,0,19519,Paid
24,6,Unemployed,UK,5830,47500,Mortgage,2,26615,Paid
80,29,Unemployed,UK,220,38000,Mortgage,0,33129,Paid
58,3,Self Employed,UK,5060,32000,Own,0,4145,Defaulted
81,24,Self Employed,UK,4760,25500,Mortgage,1,11392,Defaulted
38,11,Employed,UK,6040,29500,Own,0,13857,Paid
51,32,Self Employed,UK,460,19500,Mortgage,1,14602,Paid
82,13,Self Employed,UK,530,28500,Own,1,4029,Paid
24,1,Self Employed,UK,4700,35500,Own,2,16771,Defaulted
68,12,Unemployed,UK,160,26000,Own,0,9607,Paid
77,14,Self Employed,UK,2790,36500,Own,0,19481,Defaulted
30,1,Unemployed,UK,760,33000,Own,0,8529,Paid
49,16,Self Employed,UK,6410,42500,Mortgage,0,6216,Paid
51,24,Employed,UK,9540,51500,Own,1,33593,Defaulted
76,35,Self Employed,UK,2490,47500,Mortgage,1,25381,Defaulted
58,23,Self Employed,UK,2130,34000,Own,1,24789,Paid
69,29,Self Employed,UK,1390,54500,Own,1,53022,Paid
25,4,Self Employed,UK,360,47000,Mortgage,2,45965,Paid
77,60,Self Employed,UK,8090,31500,Rent,0,29043,Defaulted
89,71,Unemployed,UK,5000,29000,Mortgage,0,26393,Paid
61,41,Self Employed,UK,750,16500,Mortgage,0,5304,Paid
37,17,Unemployed,UK,6320,50500,Own,1,11260,Defaulted
67,2,Self Employed,UK,6010,21000,Own,0,6197,Paid
66,28,Self Employed,UK,3280,17000,Own,1,7275,Paid
53,12,Unemployed,UK,1230,54500,Rent,0,10407,Defaulted
62,20,Unemployed,UK,1250,23000,Own,2,3054,Defaulted
79,2,Unemployed,UK,710,36500,Rent,0,14830,Paid
17,1,Self Employed,UK,9780,53000,Rent,3,38905,Defaulted
66,32,Employed,UK,140,14500,Own,0,732,Defaulted
26,5,Unemployed,UK,7170,52500,Mortgage,0,27826,Paid
56,36,Self Employed,UK,4040,53000,Mortgage,2,18810,Defaulted
88,39,Employed,UK,930,28000,Own,1,6641,Paid
55,17,Unemployed,UK,8180,32500,Rent,2,17713,Defaulted
50,27,Self Employed,UK,1140,49000,Own,1,14918,Paid
45,12,Self Employed,UK,1520,53000,Own,3,48799,Paid
39,30,Self Employed,UK,9880,34000,Own,2,21621,Defaulted
39,4,Self Employed,UK,9970,41000,Mortgage,3,29456,Defaulted
73,4,Unemployed,UK,9300,50000,Rent,0,5521,Defaulted
20,3,Self Employed,UK,60,48500,Own,3,22536,Defaulted
41,14,Self Employed,UK,120,53500,Own,1,23835,Paid
81,46,Unemployed,UK,2370,45000,Own,0,17252,Paid
64,44,Unemployed,UK,380,35000,Own,2,10886,Paid
24,5,Self Employed,UK,1760,39500,Mortgage,2,21861,Paid
24,3,Unemployed,UK,8990,24000,Rent,0,481,Defaulted
58,39,Unemployed,UK,950,39500,Mortgage,0,23151,Defaulted
33,11,Employed,UK,560,9500,Mortgage,0,5880,Paid
38,2,Self Employed,UK,3860,33000,Own,0,983,Paid
18,1,Unemployed,UK,9800,45500,Own,0,40732,Defaulted
28,10,Self Employed,UK,6090,14000,Own,0,4880,Paid
30,13,Unemployed,UK,5170,37500,Mortgage,1,36389,Paid
39,15,Self Employed,UK,3370,30000,Own,0,2124,Paid
25,5,Unemployed,UK,160,50000,Own,1,38577,Paid
40,5,Unemployed,UK,210,24000,Own,0,19064,Paid
51,23,Unemployed,UK,5840,51000,Own,0,28359,Paid
27,10,Unemployed,UK,7230,50000,Own,1,33061,Paid
54,10,Self Employed,UK,2040,36500,Own,2,18000,Defaulted
36,6,Self Employed,UK,120,21000,Mortgage,3,11230,Defaulted
41,23,Self Employed,UK,1730,50500,Own,2,31588,Defaulted
87,64,Employed,UK,4380,28000,Rent,3,4750,Defaulted
45,13,Self Employed,UK,1590,24500,Mortgage,0,19610,Paid
49,22,Self Employed,UK,110,25000,Own,2,18260,Defaulted
57,38,Self Employed,UK,440,50500,Own,1,25985,Paid
71,34,Unemployed,UK,1570,49500,Rent,2,48100,Defaulted
39,8,Self Employed,UK,2580,31000,Rent,2,13474,Defaulted
85,52,Unemployed,UK,2240,16000,Own,0,11301,Defaulted
21,2,Self Employed,UK,7150,22000,Mortgage,0,2580,Paid
60,1,Employed,UK,6530,40500,Mortgage,0,12663,Paid
62,21,Employed,UK,400,23500,Own,0,20829,Paid
17,1,Self Employed,UK,5330,52500,Mortgage,3,4282,Defaulted
86,54,Employed,UK,2620,51000,Rent,0,46634,Paid
37,1,Self Employed,UK,4600,28000,Own,2,16169,Defaulted
55,1,Self Employed,UK,2060,53000,Mortgage,0,5764,Paid
30,3,Unemployed,UK,7380,31500,Own,0,13840,Defaulted
78,34,Self Employed,UK,5370,51000,Mortgage,0,26201,Paid
31,8,Employed,UK,1600,53000,Own,3,32584,Defaulted
89,3,Self Employed,UK,240,52000,Own,2,7660,Defaulted
26,4,Self Employed,UK,290,52000,Own,0,48176,Paid
31,8,Self Employed,UK,700,50500,Own,0,8112,Defaulted
42,7,Unemployed,UK,3430,40500,Own,0,33896,Paid
27,1,Unemployed,UK,6820,45500,Mortgage,0,364,Defaulted
23,4,Unemployed,UK,5000,53500,Mortgage,0,1793,Paid
34,11,Self Employed,UK,320,45500,Own,2,32444,Defaulted
38,8,Self Employed,UK,6350,39000,Rent,0,8442,Paid
18,1,Unemployed,UK,5180,28000,Rent,1,236,Paid
82,31,Self Employed,UK,2620,31000,Rent,0,18841,Paid
60,6,Unemployed,UK,1490,36000,Mortgage,0,2912,Defaulted
65,10,Self Employed,UK,7840,48000,Own,0,35,Paid
44,10,Unemployed,UK,110,17500,Own,0,5256,Paid
80,12,Employed,UK,5110,46500,Mortgage,0,16516,Paid
53,4,Self Employed,UK,6290,38500,Rent,3,11454,Defaulted
25,8,Self Employed,UK,3960,30500,Own,2,3895,Paid
64,24,Self Employed,UK,950,29000,Own,0,15844,Paid
75,13,Self Employed,UK,3400,43000,Mortgage,2,8763,Defaulted
68,51,Employed,UK,100,52500,Mortgage,0,26198,Defaulted
45,24,Unemployed,UK,7500,48500,Rent,1,9990,Paid
43,24,Self Employed,UK,0,24000,Own,0,7152,Paid
21,2,Unemployed,UK,220,42500,Own,1,12888,Paid
43,14,Unemployed,UK,1380,49000,Own,2,43222,Defaulted
23,4,Employed,UK,210,49000,Own,2,10045,Paid
68,30,Unemployed,UK,750,35500,Own,0,13094,Paid
77,45,Employed,UK,570,49000,Mortgage,0,12656,Paid
86,50,Self Employed,UK,2710,46000,Own,2,2729,Defaulted
40,8,Unemployed,UK,8310,38000,Mortgage,1,6237,Defaulted
47,17,Self Employed,UK,1830,41500,Rent,3,2419,Defaulted
84,43,Self Employed,UK,4800,53000,Own,0,32495,Paid
39,13,Unemployed,UK,9520,48000,Rent,2,18866,Defaulted
33,10,Self Employed,UK,8680,51000,Mortgage,0,25970,Paid
22,4,Self Employed,UK,4830,45500,Own,1,9610,Paid
33,13,Self Employed,UK,3570,31500,Own,1,22562,Defaulted
67,28,Self Employed,UK,10,54500,Own,0,28699,Defaulted
45,1,Unemployed,UK,4420,49000,Own,0,35694,Paid
77,34,Self Employed,UK,330,32500,Mortgage,0,23443,Defaulted
81,36,Employed,UK,1400,49000,Mortgage,0,4639,Paid
69,11,Self Employed,UK,0,52000,Mortgage,0,12758,Paid
46,8,Self Employed,UK,9170,35000,Rent,0,12300,Paid
48,7,Unemployed,UK,690,23500,Own,2,8184,Defaulted
46,11,Self Employed,UK,400,42500,Rent,1,24909,Paid
80,25,Self Employed,UK,7040,45500,Mortgage,1,31037,Paid
71,2,Self Employed,UK,1400,44000,Mortgage,1,43029,Paid
26,6,Self Employed,UK,7000,52000,Own,0,43816,Paid
51,26,Self Employed,UK,3180,43000,Own,0,21276,Defaulted
43,21,Self Employed,UK,5170,33000,Own,0,10696,Paid
34,5,Unemployed,UK,3880,39500,Mortgage,1,28915,Paid
29,2,Self Employed,UK,2110,53500,Mortgage,3,38479,Defaulted
19,2,Unemployed,UK,3120,28500,Own,0,22479,Defaulted
84,21,Unemployed,UK,9810,10000,Own,0,4793,Defaulted
67,49,Employed,UK,1860,45000,Own,0,2148,Paid
61,9,Self Employed,UK,6410,52000,Mortgage,2,37846,Defaulted
68,16,Employed,UK,480,37000,Own,2,3000,Paid
19,2,Unemployed,UK,7350,46500,Own,1,17791,Paid
43,10,Self Employed,UK,1790,49500,Mortgage,0,39247,Paid
46,26,Self Employed,UK,7920,42000,Own,0,23247,Paid
47,5,Unemployed,UK,3560,27000,Own,0,8699,Paid
27,8,Unemployed,UK,650,49500,Rent,1,34001,Defaulted
88,20,Unemployed,UK,8940,46000,Mortgage,3,15045,Defaulted
50,13,Self Employed,UK,4060,33000,Mortgage,3,12555,Defaulted
73,38,Unemployed,UK,220,33500,Own,2,29870,Defaulted
19,1,Self Employed,UK,2380,12500,Own,3,8817,Defaulted
71,4,Self Employed,UK,280,42500,Own,0,7009,Paid
89,7,Self Employed,UK,2030,33000,Mortgage,1,12213,Paid
55,6,Self Employed,UK,3130,48000,Own,3,28652,Paid
84,42,Employed,UK,1730,30500,Own,0,5410,Paid
18,1,Self Employed,UK,370,17000,Own,0,2478,Paid
24,2,Unemployed,UK,80,29500,Mortgage,1,18010,Paid
83,66,Self Employed,UK,200,29500,Mortgage,1,23172,Paid
51,10,Unemployed,UK,1720,32500,Own,3,13557,Defaulted
80,6,Self Employed,UK,9940,45500,Mortgage,0,19196,Paid
32,13,Self Employed,UK,2400,41500,Own,1,15147,Paid
72,55,Employed,UK,3410,13000,Own,3,8360,Defaulted
73,34,Self Employed,UK,2150,48000,Own,2,45516,Defaulted
82,59,Self Employed,UK,6100,37500,Mortgage,2,33225,Defaulted
77,2,Self Employed,UK,2240,49000,Mortgage,0,22937,Defaulted
76,7,Self Employed,UK,0,47000,Own,1,22921,Defaulted
52,17,Self Employed,UK,6080,35000,Rent,1,25171,Paid
49,3,Self Employed,UK,1790,39000,Mortgage,2,25163,Defaulted
84,45,Unemployed,UK,590,35500,Mortgage,3,15581,Paid
19,1,Self Employed,UK,250,49000,Rent,1,39384,Paid
50,18,Employed,UK,70,49500,Own,0,23379,Paid
72,44,Unemployed,UK,0,47000,Own,0,44165,Paid
68,39,Self Employed,UK,4940,16000,Mortgage,2,274,Defaulted
84,7,Unemployed,UK,1230,46000,Own,3,19059,Defaulted
54,33,Self Employed,UK,7970,13500,Own,0,11165,Paid
56,33,Unemployed,UK,3900,36000,Mortgage,0,10904,Paid
60,16,Unemployed,UK,2650,47000,Mortgage,0,13015,Paid
77,37,Self Employed,UK,3940,54000,Rent,2,26108,Defaulted
36,14,Self Employed,UK,0,43000,Own,0,22764,Paid
85,60,Unemployed,UK,910,34500,Own,2,8313,Defaulted
39,11,Unemployed,UK,8380,51500,Own,0,10400,Paid
58,34,Self Employed,UK,890,48500,Own,1,21590,Paid
54,10,Unemployed,UK,0,16500,Mortgage,0,9475,Paid
66,18,Self Employed,UK,530,54000,Own,0,4865,Paid
43,1,Self Employed,UK,5740,18500,Own,1,376,Paid
28,1,Employed,UK,3820,16500,Mortgage,0,1416,Defaulted
48,14,Unemployed,UK,6860,46500,Own,0,38420,Paid
40,25,Unemployed,UK,920,30000,Mortgage,0,17212,Defaulted
53,20,Self Employed,UK,10,46500,Mortgage,3,13175,Defaulted
31,2,Unemployed,UK,1960,54000,Own,0,4512,Paid
82,9,Self Employed,UK,7170,31000,Rent,1,9170,Defaulted
56,35,Employed,UK,8190,27000,Own,0,23945,Defaulted
48,2,Self Employed,UK,2500,50000,Rent,1,30985,Paid
69,7,Self Employed,UK,60,39000,Own,0,29966,Paid
56,38,Self Employed,UK,5810,43500,Own,0,37431,Paid
78,17,Employed,UK,5270,36500,Own,0,25916,Paid
22,4,Self Employed,UK,170,22500,Own,1,15416,Paid
42,5,Unemployed,UK,4670,48000,Mortgage,3,6454,Defaulted
85,31,Unemployed,UK,7980,49000,Own,2,41080,Paid
81,53,Self Employed,UK,3510,19000,Own,1,7579,Paid
22,4,Employed,UK,1340,36500,Own,2,9974,Paid
61,24,Self Employed,UK,7350,35000,Mortgage,0,3129,Paid
59,1,Self Employed,UK,5220,39000,Own,0,4701,Paid
37,6,Unemployed,UK,3770,44000,Own,0,16946,Paid
26,6,Employed,UK,2360,49500,Own,0,26230,Defaulted
80,40,Unemployed,UK,8800,54000,Own,2,1142,Defaulted
29,12,Unemployed,UK,2280,46500,Own,2,5760,Defaulted
62,5,Self Employed,UK,5980,53500,Mortgage,3,645,Defaulted
39,18,Self Employed,UK,2730,53000,Mortgage,0,35749,Paid
58,20,Self Employed,UK,1270,24000,Rent,2,5164,Defaulted
85,18,Unemployed,UK,2070,24000,Own,0,9708,Defaulted
43,25,Self Employed,UK,2170,42500,Own,1,24779,Paid
29,10,Unemployed,UK,1580,53500,Rent,0,24502,Paid
42,17,Self Employed,UK,2410,51500,Own,0,34716,Paid
79,56,Unemployed,UK,330,42500,Own,1,13856,Paid
43,9,Self Employed,UK,9290,29500,Mortgage,0,5050,Defaulted
66,6,Self Employed,UK,7840,16000,Own,0,11187,Paid
48,5,Employed,UK,8060,43500,Mortgage,1,5283,Defaulted
71,24,Unemployed,UK,3700,28500,Mortgage,1,18538,Defaulted
25,8,Unemployed,UK,740,49500,Mortgage,0,39236,Defaulted
64,5,Self Employed,UK,4700,12000,Own,0,9842,Paid
66,8,Self Employed,UK,4760,10000,Mortgage,3,9257,Defaulted
61,35,Self Employed,UK,7350,20000,Own,0,1714,Paid
83,20,Unemployed,UK,8020,49500,Own,3,29880,Defaulted
19,1,Self Employed,UK,3290,45000,Own,3,18437,Paid
49,23,Employed,UK,3760,46500,Rent,0,44903,Paid
66,10,Unemployed,UK,5810,51000,Own,0,6514,Defaulted
28,1,Employed,UK,2360,50500,Mortgage,0,31819,Defaulted
36,18,Self Employed,UK,4030,44500,Own,0,38561,Paid
71,7,Employed,UK,1360,47500,Rent,3,14293,Defaulted
65,1,Self Employed,UK,580,53500,Mortgage,0,7884,Paid
31,9,Employed,UK,1930,41500,Mortgage,2,36367,Defaulted
30,11,Self Employed,UK,5900,38500,Own,0,17567,Paid
89,36,Unemployed,UK,2220,18500,Own,3,13110,Paid
28,1,Self Employed,UK,2260,35500,Rent,3,22006,Defaulted
45,10,Unemployed,UK,600,44000,Rent,0,4424,Paid
67,15,Self Employed,UK,9150,32000,Mortgage,2,6175,Defaulted
29,2,Self Employed,UK,1070,15000,Own,2,5860,Defaulted
48,2,Self Employed,UK,1840,30000,Mortgage,3,3024,Defaulted
60,31,Retired,UK,7150,53500,Own,0,22864,Defaulted
56,32,Self Employed,UK,0,52500,Own,3,35471,Defaulted
55,31,Unemployed,UK,1480,43500,Mortgage,0,30669,Defaulted
